date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
01-01-2015,120,29,91,588600,116860,705460,1,0,1
02-01-2015,162,39,123,663350,281425,944775,1,1,2
03-01-2015,122,34,88,596900,286950,883850,4,1,5
04-01-2015,116,27,89,967350,301600,1268950,3,2,5
05-01-2015,162,28,134,877654,103000,980654,2,0,2
06-01-2015,104,24,80,597100,149500,746600,2,1,3
07-01-2015,108,22,86,728650,144600,873250,3,1,4
08-01-2015,169,37,132,886802,156300,1043102,0,0,0
09-01-2015,137,30,107,852650,282200,1134850,7,0,7
10-01-2015,108,35,73,668450,183380,851830,6,0,6
11-01-2015,116,18,98,809900,109200,919100,3,0,3
12-01-2015,130,19,111,650150,85600,735750,1,1,2
13-01-2015,115,24,91,579000,83235,662235,8,3,11
14-01-2015,68,15,53,352850,77050,429900,6,0,6
15-01-2015,116,30,86,650400,148100,798500,1,0,1
16-01-2015,148,27,121,555800,53800,609600,1,1,2
17-01-2015,128,37,91,610100,137800,747900,2,2,4
18-01-2015,84,22,62,450350,52300,502650,1,1,2
19-01-2015,134,32,102,567500,130900,698400,7,2,9
20-01-2015,137,33,104,584350,158600,742950,7,0,7
21-01-2015,112,23,89,634749,56400,691149,2,0,2
22-01-2015,130,27,103,670600,106800,777400,2,3,5
23-01-2015,93,25,68,354000,179550,533550,7,0,7
24-01-2015,74,17,57,447450,90800,538250,2,1,3
25-01-2015,97,30,67,617050,161700,778750,2,0,2
26-01-2015,75,13,62,410350,43250,453600,2,0,2
27-01-2015,83,33,50,319620,164500,484120,1,0,1
28-01-2015,134,23,111,586950,50750,637700,4,1,5
29-01-2015,101,29,72,442198,233690,675888,1,0,1
30-01-2015,109,28,81,681600,196030,877630,3,1,4
31-01-2015,89,19,70,563971,111300,675271,2,0,2
01-02-2015,69,21,48,413896,68200,482096,3,2,5
02-02-2015,116,32,84,607850,145800,753650,6,0,6
03-02-2015,126,36,90,797798,184200,981998,2,1,3
04-02-2015,125,37,88,656550,204036,860586,2,1,3
05-02-2015,118,32,86,758500,146720,905220,2,0,2
06-02-2015,101,32,69,553250,110000,663250,4,1,5
07-02-2015,77,29,48,401850,108600,510450,2,0,2
08-02-2015,78,27,51,273650,82100,355750,2,0,2
09-02-2015,116,37,79,604400,140600,745000,1,0,1
10-02-2015,190,54,136,1101190,205500,1306690,5,0,5
11-02-2015,213,54,159,984522,241900,1226422,2,0,2
12-02-2015,230,56,174,1046250,200350,1246600,2,0,2
13-02-2015,160,46,114,927550,145035,1072585,2,2,4
14-02-2015,129,23,106,561350,55310,616660,3,0,3
15-02-2015,89,34,55,318900,109300,428200,2,0,2
16-02-2015,133,29,104,735620,116600,852220,0,1,1
17-02-2015,55,18,37,168300,60600,228900,0,0,0
18-02-2015,141,34,107,687850,129800,817650,1,0,1
19-02-2015,254,76,178,938700,306050,1244750,0,0,0
20-02-2015,136,30,106,814350,97000,911350,3,0,3
21-02-2015,91,24,67,376900,145650,522550,4,1,5
22-02-2015,87,16,71,365800,26500,392300,0,0,0
23-02-2015,97,15,82,622500,68500,691000,3,0,3
24-02-2015,112,30,82,545150,201160,746310,1,2,3
25-02-2015,110,37,73,463000,122950,585950,4,1,5
26-02-2015,130,44,86,860450,189700,1050150,1,2,3
